,id,content,metrics,sentiment
35,1605606531818348547,"RT @FIFAWorldCup: Shining on the biggest stage of them all ⭐️

#FIFAWorldCup | #Qatar2022 https://t.co/NPoxwkmJQZ","{'author_id': 1064079148144975872, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 2, tzinfo=datetime.timezone.utc), 'retweet_count': 2182, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': -2}"
36,1605606530962710533,"RT @TheMessiNFT: World Cup triumph means Messi is now the greatest 🏆

Free Mint coming soon 🔜 
1111 Supply 📦 

Like + RT to be considered 📜…","{'author_id': 1212405357483454466, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 2, tzinfo=datetime.timezone.utc), 'retweet_count': 1202, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.7, 'sentiment_rating_value': 2}"
37,1605606529847025668,"RT @ThePopTingz: First look at the 1,000 peso note that Messi will appear on following the national team’s #FIFAWorldCup victory. https://t…","{'author_id': 896066970554073096, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 2, tzinfo=datetime.timezone.utc), 'retweet_count': 35, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.125, 'sentiment_rating_value': -2}"
38,1605606524591562756,"RT @alimo_philip: 🏆Lionel Messi, after winning the World Cup is only ONE trophy away from becoming the most decorated player of all time.…","{'author_id': 1281525153940361216, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, tzinfo=datetime.timezone.utc), 'retweet_count': 267, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.3625, 'sentiment_rating_value': -2}"
39,1605606514856583176,"RT @_snuppy08: 🔥CRYPTO ARBITRAGE METHOD 📲💲                                                                            

Just Check CoW toke…","{'author_id': 319825097, 'created_at': datetime.datetime(2022, 12, 21, 16, 49, 58, tzinfo=datetime.timezone.utc), 'retweet_count': 126, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': -0.13333333333333333, 'sentiment_rating_value': -2}"
40,1605606514755919877,"RT @FIFAWorldCup: Who was the best #️⃣9️⃣ in Qatar? 

#FIFAWorldCup #Qatar2022 https://t.co/sSO49w21x8","{'author_id': 1556247071367340032, 'created_at': datetime.datetime(2022, 12, 21, 16, 49, 58, tzinfo=datetime.timezone.utc), 'retweet_count': 1820, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 1.0, 'sentiment_rating_value': 2}"
41,1605606497785765892,"RT @BCCI: Tense finish ⚽

Intense faces.

#TeamIndia #FIFAWorldCup https://t.co/gx2DKCt4C9","{'author_id': 1064079148144975872, 'created_at': datetime.datetime(2022, 12, 21, 16, 49, 54, tzinfo=datetime.timezone.utc), 'retweet_count': 478, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': -0.06666666666666665, 'sentiment_rating_value': -2}"
42,1605606493834731525,"RT @FIFAWorldCup: Who was the best #️⃣9️⃣ in Qatar? 

#FIFAWorldCup #Qatar2022 https://t.co/sSO49w21x8","{'author_id': 1189652870913769473, 'created_at': datetime.datetime(2022, 12, 21, 16, 49, 53, tzinfo=datetime.timezone.utc), 'retweet_count': 1820, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 1.0, 'sentiment_rating_value': 2}"
43,1605606491100221440,If this doesn’t happen in real life then maybe FIFA 2024 👇😂  #FIFA #Messi #Argentina #FIFAWorldCup https://t.co/eALf94uvi9,"{'author_id': 84490679, 'created_at': datetime.datetime(2022, 12, 21, 16, 49, 52, tzinfo=datetime.timezone.utc), 'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.2, 'sentiment_rating_value': -2}"
44,1605606487140622349,"RT @chartdata: #JungKook of @BTS_twt's ""Dreamers (#FIFAWorldCup Qatar)"" debuts at #2 on the global Spotify chart with 4.887 million streams.","{'author_id': 1373708329592229895, 'created_at': datetime.datetime(2022, 12, 21, 16, 49, 51, tzinfo=datetime.timezone.utc), 'retweet_count': 26515, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': -2}"
45,1605606483110002690,"Why is Piers soooooo obsessed with Messi??

I know he thinks he’s BFFs with Ronaldo, but he gets so obsessed! 

Why does this matter at all? It’s bloody football bants!! 🤦🏽‍♀️🤦🏽‍♀️

#LionelMessi𓃵 #FIFAWorldCup https://t.co/Cy8eTcjw9n","{'author_id': 30056115, 'created_at': datetime.datetime(2022, 12, 21, 16, 49, 50, tzinfo=datetime.timezone.utc), 'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': -0.7083333333333334, 'sentiment_rating_value': -2}"
46,1605606473069105152,"RT @TheMessiNFT: Lionel Messi has been crowned the best player at Qatar 2022 🏆

We launching our Discord server:
https://t.co/vgtb2xAXxm

L…","{'author_id': 1970590735, 'created_at': datetime.datetime(2022, 12, 21, 16, 49, 48, tzinfo=datetime.timezone.utc), 'retweet_count': 19, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 1.0, 'sentiment_rating_value': 2}"
47,1605606472679034880,RT @narendramodi: This will be remembered as one of the most thrilling Football matches! Congrats to Argentina on becoming #FIFAWorldCup Ch…,"{'author_id': 735756323405496320, 'created_at': datetime.datetime(2022, 12, 21, 16, 49, 48, tzinfo=datetime.timezone.utc), 'retweet_count': 14585, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.42083333333333334, 'sentiment_rating_value': -2}"
48,1605606471383015424,"RT @FIFAWorldCup: Super Sonny 🦸‍♂️ Trend setter

#FIFAWorldCup https://t.co/iR2utOTMJr","{'author_id': 1046642957716049920, 'created_at': datetime.datetime(2022, 12, 21, 16, 49, 48, tzinfo=datetime.timezone.utc), 'retweet_count': 753, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.3333333333333333, 'sentiment_rating_value': -2}"
49,1605606465233772555,"The 2022 #FIFAWorldCup  had impressive shot-stoppers.

Who was your Goalie of the Tournament?
A. Yassine Bounou
B. Emiliano Martinez
C. Dominik Livakovic
D. Hugo Lloris

#Budweiser #YoursToTake https://t.co/tGfZ5v4os8","{'author_id': 956437741591547904, 'created_at': datetime.datetime(2022, 12, 21, 16, 49, 46, tzinfo=datetime.timezone.utc), 'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}","{'sentiment_score': 1.0, 'sentiment_rating_value': 2}"
